source,target,weight
Balance and Alignment,Stress Relief/Breath Techniques,0.2863
Balance and Alignment,Deep Relaxation/Mind Practice,0.2005
Balance and Alignment,Stretch and Release,0.3534
Balance and Alignment,Core and Strength,0.2199
Stress Relief/Breath Techniques,Deep Relaxation/Mind Practice,0.2269
Stress Relief/Breath Techniques,Stretch and Release,0.2489
Stress Relief/Breath Techniques,Core and Strength,0.1752
Deep Relaxation/Mind Practice,Stretch and Release,0.3792
Deep Relaxation/Mind Practice,Core and Strength,0.1959
Stretch and Release,Core and Strength,0.1914
